,score,model_name,Air.csv,sem_Air.csv,EEG.csv,sem_EEG.csv,ae_te.csv,sem_ae_te.csv,ae_tr.csv,sem_ae_tr.csv,hospital.csv,sem_hospital.csv,occupancy_sc.csv,sem_occupancy_sc.csv,occupancyt2_sc.csv,sem_occupancyt2_sc.csv,occupancyt_sc.csv,sem_occupancyt_sc.csv,traffic_volume.csv,sem_traffic_volume.csv
53,MASE,transformer,16403.27,185.48,1792.61,16.87,9.21,0.54,10.6,0.33,4437.11,10.09,249203.85,9977.52,168109.72,8734.18,187284.8,2327.1,1701.51,40.54
54,MAPE,transformer,2498.15,32.46,46.7,0.31,0.78,0.06,1.01,0.07,529.04,1.97,2339.16,93.62,1593.96,74.34,873.61,9.96,387.65,30.62
55,sMAPE,transformer,1.99,0,1.36,0.01,0.59,0.03,0.59,0,1.92,0,1.7,0.01,1.71,0.01,1.69,0.01,1.13,0.02
56,OWA,transformer,,,,,,,,,,,,,,,,,,
57,MSIS,transformer,183420.13,10899.28,5186.95,170.16,53.08,8.81,64.59,11.47,164278.85,493.16,4511677.58,415899.78,2323734.11,348279.62,3403799.77,117241.29,4952.85,515.17
58,QuantileLoss[0.1],transformer,137932.8,4882.94,37.51,1.43,22.36,5.67,24.78,2.97,49372.85,204.52,39124.68,2680.04,30810.71,3240.9,36037.04,993.05,10.97,1.46
59,Coverage[0.1],transformer,0.93,0.03,0.97,0.03,0.12,0.04,0.11,0.02,0.98,0.01,0.79,0.06,0.71,0.05,0.8,0.05,0.81,0.06
60,QuantileLoss[0.5],transformer,146883.22,2642.28,74.74,1.4,48.34,3,51.99,1.58,29421.47,89.72,34896.59,1401.12,29813.37,1665.46,30358.26,305.33,24.94,1.29
61,Coverage[0.5],transformer,1,0,0.98,0.02,0.45,0.03,0.47,0.04,1,0,0.83,0,0.79,0.04,0.83,0,1,0
62,QuantileLoss[0.95],transformer,23574.42,284.89,14.27,0.18,12.92,0.72,12.84,0.31,3202.43,12.84,5147.97,171.22,4613.34,171.93,4320.45,47.71,5.07,0.14
63,Coverage[0.95],transformer,1,0,1,0,0.9,0.02,0.93,0.01,1,0,0.83,0,0.83,0,0.83,0,1,0
64,RMSE,transformer,1542.56,35.56,0.5,0.01,0.57,0.06,0.65,0.04,812.74,1.02,1025.53,39.92,869.15,53.85,855.71,10.26,0.51,0.02
65,NRMSE,transformer,2547.63,58.73,2.09,0.03,1.06,0.11,1.19,0.07,1783.74,2.23,1698.85,66.13,1888.23,116.99,1189.05,14.26,1.18,0.05
66,ND,transformer,1866.05,33.57,2.1,0.04,0.74,0.05,0.79,0.02,922.46,2.81,963.47,38.68,1079.5,60.3,703.07,7.07,1.15,0.06
67,wQuantileLoss[0.1],transformer,1752.34,62.03,1.05,0.04,0.34,0.09,0.38,0.04,1547.99,6.41,1080.2,73.99,1115.61,117.35,834.59,23,0.51,0.07
68,wQuantileLoss[0.5],transformer,1866.05,33.57,2.1,0.04,0.74,0.05,0.79,0.02,922.46,2.81,963.47,38.68,1079.5,60.3,703.07,7.07,1.15,0.06
69,wQuantileLoss[0.95],transformer,299.5,3.62,0.4,0.01,0.2,0.01,0.19,0,100.41,0.4,142.13,4.73,167.04,6.23,100.06,1.1,0.23,0.01
70,mean_wQuantileLoss,transformer,1305.96,32.7,1.19,0.02,0.43,0.05,0.45,0.02,856.95,2.86,728.6,38.38,787.38,60.11,545.91,10.01,0.63,0.04
71,MAE_Coverage,transformer,0.46,0.01,0.47,0.02,0.05,0.01,0.02,0.01,0.48,0,0.38,0.02,0.34,0.03,0.38,0.02,0.42,0.02
